2013-04-27 22:43:07 startup archives install
2013-04-27 22:43:07 install base-files <none> 6.0squeeze7
2013-04-27 22:43:07 status half-installed base-files 6.0squeeze7
2013-04-27 22:43:08 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:08 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:08 install base-passwd <none> 3.5.22
2013-04-27 22:43:08 status half-installed base-passwd 3.5.22
2013-04-27 22:43:08 status unpacked base-passwd 3.5.22
2013-04-27 22:43:08 status unpacked base-passwd 3.5.22
2013-04-27 22:43:08 configure base-passwd 3.5.22 3.5.22
2013-04-27 22:43:08 status unpacked base-passwd 3.5.22
2013-04-27 22:43:08 status half-configured base-passwd 3.5.22
2013-04-27 22:43:08 status installed base-passwd 3.5.22
2013-04-27 22:43:08 configure base-files 6.0squeeze7 6.0squeeze7
2013-04-27 22:43:08 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:08 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:08 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:09 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:09 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:09 status unpacked base-files 6.0squeeze7
2013-04-27 22:43:09 status half-configured base-files 6.0squeeze7
2013-04-27 22:43:09 status installed base-files 6.0squeeze7
2013-04-27 22:43:09 startup archives install
2013-04-27 22:43:10 upgrade dpkg 1.15.8.13 1.15.8.13
2013-04-27 22:43:10 status half-configured dpkg 1.15.8.13
2013-04-27 22:43:10 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:10 status half-installed dpkg 1.15.8.13
2013-04-27 22:43:10 status half-installed dpkg 1.15.8.13
2013-04-27 22:43:10 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:10 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:10 configure dpkg 1.15.8.13 1.15.8.13
2013-04-27 22:43:10 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:10 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:11 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:11 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:11 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:11 status half-configured dpkg 1.15.8.13
2013-04-27 22:43:11 status installed dpkg 1.15.8.13
2013-04-27 22:43:11 startup archives install
2013-04-27 22:43:12 install libc6 <none> 2.11.3-4
2013-04-27 22:43:12 status half-installed libc6 2.11.3-4
2013-04-27 22:43:12 status unpacked libc6 2.11.3-4
2013-04-27 22:43:12 status unpacked libc6 2.11.3-4
2013-04-27 22:43:12 configure libc6 2.11.3-4 2.11.3-4
2013-04-27 22:43:12 status unpacked libc6 2.11.3-4
2013-04-27 22:43:12 status unpacked libc6 2.11.3-4
2013-04-27 22:43:12 status half-configured libc6 2.11.3-4
2013-04-27 22:43:14 status installed libc6 2.11.3-4
2013-04-27 22:43:14 startup archives install
2013-04-27 22:43:14 install perl-base <none> 5.10.1-17squeeze5
2013-04-27 22:43:14 status half-installed perl-base 5.10.1-17squeeze5
2013-04-27 22:43:15 status unpacked perl-base 5.10.1-17squeeze5
2013-04-27 22:43:15 status unpacked perl-base 5.10.1-17squeeze5
2013-04-27 22:43:15 configure perl-base 5.10.1-17squeeze5 5.10.1-17squeeze5
2013-04-27 22:43:15 status unpacked perl-base 5.10.1-17squeeze5
2013-04-27 22:43:15 status half-configured perl-base 5.10.1-17squeeze5
2013-04-27 22:43:15 status installed perl-base 5.10.1-17squeeze5
2013-04-27 22:43:15 startup archives install
2013-04-27 22:43:15 install mawk <none> 1.3.3-15
2013-04-27 22:43:15 status half-installed mawk 1.3.3-15
2013-04-27 22:43:16 status unpacked mawk 1.3.3-15
2013-04-27 22:43:16 status unpacked mawk 1.3.3-15
2013-04-27 22:43:16 configure mawk 1.3.3-15 1.3.3-15
2013-04-27 22:43:16 status unpacked mawk 1.3.3-15
